Concept,Domain,Occurrences,Books,Chapters,Sample_Keywords,Keep (Y/N)
list,cpp_systems,2365,224,2365,add_argument; collections; debug; print; code,
include,cpp_systems,2143,217,2143,data; hug; code; time; times,
build,devops_cicd,2101,227,2101,add_argument; memory used; div cls; pyqtgraph; addition,
requires,cpp_systems,2032,219,2032,collections; debug; print; code; ordereddict,
environment,devops_cicd,1735,216,1735,add_argument; code; handling code; addition; __init__,
production,devops_cicd,1465,221,1465,collections; tactical; strategic; parameters; code,
response,web_development,1424,204,1424,hug; parameters; code; users; methods,
free,cpp_systems,1131,203,1131,tactical; memory used; strategic; div cls; code,
new,cpp_systems,1125,196,1125,tactical; memory used; strategic; div cls; code,
final,cpp_systems,1088,181,1088,add_argument; collections; code; ordereddict; addition,
web,web_development,923,188,923,memory used; hug; div cls; pyqtgraph; times,
concepts,cpp_systems,893,187,893,tactical; strategic; code; time; comments,
document,llm_rag,881,177,881,memory used; div cls; parameters; code; pyqtgraph,
map,cpp_systems,875,180,875,memory used; div cls; code; pyqtgraph; comments,
delete,cpp_systems,816,162,816,parameters; classes; code; users; functionality,
package,python_implementation,758,167,758,add_argument; collections; debug; print; code,
command,design_patterns,715,138,715,add_argument; collections; debug; print; code,
link,cpp_systems,709,167,709,data; memory used; div cls; pyqtgraph; gpt,
catch,cpp_systems,542,144,542,collections; developers; code; handling code; ordereddict,
click,python_implementation,512,128,512,add_argument; memory used; div cls; pyqtgraph; addition,
class,python_implementation,483,82,483,tactical; strategic; code; general; comments,
password,security,418,115,418,challenge; able; actions; abt; __init__,
throw,cpp_systems,417,118,417,parameters; code; handling code; comments; users,
vector,cpp_systems,362,19,362,results; void; parameters; et al; merged,
express,web_development,355,131,355,format; change; function; cart; weather,
completion,llm_rag,334,119,334,actions; chatgpt; size; gpt; language,
javascript,web_development,329,113,329,memory used; hug; div cls; pyqtgraph; times,
secret,security,327,113,327,editor; large; actions; code; information,
query,database_storage,321,87,321,data; directory; install; click; packets,
https,security,317,90,317,add_argument; memory used; div cls; pyqtgraph; addition,
chat,llm_rag,310,64,310,image; code; chatgpt; size; gpt,
std,cpp_systems,276,28,276,data; void; function; response; code,
make,cpp_systems,272,110,272,write; code; time; comments; comment,
aws,cloud_infrastructure,265,57,265,work; install; aws; environment; code,
set,cpp_systems,261,96,261,properties; level; data; aws; code,
__init__,python_implementation,260,38,260,add_argument; actions; act; according; addition,
def,python_implementation,248,37,248,functions; data; function; gpt; skill,
template,cpp_systems,237,34,237,image; build; memory used; div cls; pyqtgraph,
oracle,database_storage,236,80,236,data; key; click; packets; known,
docker,microservices_architecture,178,55,178,image; tasks; chat; code; gpt4all,
pip,python_implementation,168,46,168,add_argument; memory used; div cls; pyqtgraph; addition,
http,web_development,168,83,168,private; password; space; response; spaces,
memory,cpp_systems,166,45,166,editor; large; memory used; div cls; pyqtgraph,
python,python_implementation,159,45,159,add_argument; debug; print; time; __init__,
gpt,llm_rag,159,21,159,editor; large; actions; gpt; information,
api,web_development,158,62,158,image; hug; code; skill; studio,
repository,design_patterns,148,46,148,vs code; key; install; code; gpt,
fake,testing_quality,141,59,141,requests; statement; site; code; spaces,
gpu,concurrency_parallelism,134,35,134,chatgpt; size; gpt; store; language,
cpp,cpp_systems,130,18,130,temples; cpp; response; llamafile; vllm,
hypothesis,testing_quality,128,52,128,work; data; assistants; gpt; organization,
ray,concurrency_parallelism,124,44,124,data; ops04; languages; aws; input,
view,database_storage,124,31,124,operation; ordering; new york; operations; store,
exception,cpp_systems,121,33,121,projects; brazil; parameters; code; developers,
seed,database_storage,116,54,116,data; tasks; chat; response; code,
s3,cloud_infrastructure,107,32,107,arn; install; objects; aws; environment,
dynamodb,cloud_infrastructure,106,19,106,dms; challenge; password; aws; rds,
virtual,cpp_systems,99,45,99,challenge; function; aws; elasticache; create,
test,testing_quality,95,34,95,development; product; developers; code; study,
ec2,cloud_infrastructure,93,31,93,install; aws; environment; steps; create,
fastapi,python_implementation,91,8,91,data; assistants; implementing; gpt; creating,
terraform,devops_cicd,87,26,87,private; development; aws; create vpc; code,
sre,devops_cicd,84,16,84,change; procedures; aws; create; volume,
postgres,database_storage,83,38,83,travel_assistant; capacity; password; aws; print,
flask,python_implementation,82,24,82,collections; debug; print; code; ordereddict,
chef,devops_cicd,81,45,81,data; instructions; aws; chatgpt; size,
tensorflow,python_implementation,81,17,81,step; data; response; code; chatgpt,
database,database_storage,80,25,80,dms; arn; password; aws; rds,
docker hub,devops_cicd,76,33,76,cpp; image; build; gpt4all; listing,
cassandra,database_storage,76,32,76,people; read; work; data; change,
stl,cpp_systems,74,17,74,int; image; void; acct; click,
malloc,cpp_systems,70,25,70,int; gpt 4o; __asan_memcpy; special; issues,
stack,cpp_systems,70,27,70,following; aws; shown; create; creating,
kubernetes,microservices_architecture,69,30,69,image; build; click; subject; listing 11,
container,microservices_architecture,67,36,67,image; build; single; code; listing,
train,data_science_ml,66,20,66,data; response; code; chatgpt; gpt,
async,concurrency_parallelism,66,13,66,functions; data; function; gpt; skill,
import,python_implementation,64,20,64,private; password; space; response; spaces,
service,microservices_architecture,62,30,62,image; build; flask; running; listing,
rds,cloud_infrastructure,61,26,61,work; capacity; password; aws; code,
array,cpp_systems,60,28,60,documents; data; document; blue; code,
azure,cloud_infrastructure,60,33,60,data; nebu; customers; single; vendor,
bigquery,cloud_infrastructure,60,12,60,billing data; data; billing; logs; spend,
npm,web_development,58,33,58,change; data; basket; product; cart,
table,database_storage,58,30,58,app; products; data; key; response,
unique_ptr,cpp_systems,58,4,58,results; void; data; function; packaged_task,
claude,llm_rag,53,21,53,able; actions; abt; create; __init__,
zookeeper,microservices_architecture,53,25,53,starting; running; tests; images; using docker,
predict,data_science_ml,52,22,52,data; layer mlp; response; code; chatgpt,
namespace,cpp_systems,51,7,51,chrono; std chrono; data; function; std packaged_task,
xunit,testing_quality,50,17,50,development; product; developers; code; study,
eks,cloud_infrastructure,50,20,50,challenge; function; aws; problem challenge; create,
llm,llm_rag,49,13,49,paestum; temples; actions; chatgpt; language,
__call__,python_implementation,47,15,47,__call__; able; achieve; __init__; 11 using,
mutex,concurrency_parallelism,47,3,47,data; const; data_queue; std unique_lock; waiting,
matplotlib,data_science_ml,46,15,46,add_argument; data; instructions; addition; __init__,
index,database_storage,46,11,46,data; response; code; chatgpt; time,
grafana,devops_cicd,46,25,46,curl; data; aws; organization; business,
bert,llm_rag,45,13,45,data; first_name; product; question; generate,
shared_ptr,cpp_systems,44,3,44,data; function; const; data_queue; waiting,
api key,security,43,19,43,agentops; image; crew; code; studio,
monitoring,devops_cicd,43,22,43,product; rights; users; tests; apress com,
ecs,cloud_infrastructure,42,21,42,function; aws; lightsail; create; copilot,
prompt,llm_rag,41,13,41,temples; function; response; llamafile; vllm,
override,cpp_systems,41,13,41,attribute; requests; site; response; login,
noexcept,cpp_systems,41,4,41,results; void; data; const; message,
vault,security,40,19,40,shown figure; aws; shown; volume; create,
sqlalchemy,database_storage,39,18,39,databases; read; batchref; data; sqlite3,
role,security,38,22,38,functions; image; topic; function; parameters,
sklearn,python_implementation,37,14,37,documents; data; document; review; blue,
iam,cloud_infrastructure,37,10,37,arn; install; objects; aws; environment,
vpc,cloud_infrastructure,37,12,37,install; aws; environment; rds; steps,
node,web_development,35,19,35,properties; data; function; key; aws,
cuda,concurrency_parallelism,34,9,34,temples; cpp; response; llamafile; vllm,
cnn,data_science_ml,34,14,34,step; achieve; code; __init__; cifar 10,
lambda,cloud_infrastructure,34,14,34,data; code; save; __init__; elements,
angular,web_development,33,19,33,outputs; work; following; code; output,
ecr,devops_cicd,32,11,32,image; cookbook; function; aws; lightsail,
pca,data_science_ml,30,13,30,documents; vs code; document; blue; code,
gcr,devops_cicd,30,18,30,image; build; listing; images; application,
atomic,concurrency_parallelism,30,3,30,results; data; ordering; std experimental; operations,
